timestamp,git_sha,machine,engine,label,write_ms,warm_open_ms,cold_open_ms,lookup_us,append_ms,append_puts_ms,append_sync_ms,append_loop_ms,append_sync_all_ms,files_bytes,mem_bytes,mem_label
2026-09-13T20:27:36+00:00,1cbae5e,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,940.6,98.7,98.4,1.9,2821.3,2821.2,0.1,10.0,0.0,104399726,2098432,index_bytes
2026-09-14T01:52:29+00:00,45fb291,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,599.8,4.8,4.8,1.2,7.4,4.9,2.5,8.5,0.0,105449646,2099456,index_bytes
2026-09-14T01:52:29+00:00,45fb291,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,243.1,0.5,0.5,0.5,6.2,5.0,1.2,,,201326592,201326592,file_bytes
2026-09-14T01:52:29+00:00,45fb291,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,2589.1,0.0,0.0,28.6,39.8,38.5,1.3,,,457773056,457773056,file_bytes
2026-09-14T02:06:50+00:00,5c240d2,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,583.6,4.6,4.3,0.7,7.0,4.6,2.3,7.6,0.0,105449643,2099456,index_bytes
2026-09-14T02:06:50+00:00,5c240d2,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,231.6,0.5,0.5,0.5,6.1,4.9,1.3,,,201326592,201326592,file_bytes
2026-09-14T02:06:50+00:00,5c240d2,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,2540.0,0.0,0.0,28.1,42.5,41.3,1.2,,,457773056,457773056,file_bytes
2026-09-14T02:11:01+00:00,7c76ece,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,562.9,4.5,4.5,0.3,6.5,4.3,2.3,7.4,0.0,105449643,2099456,index_bytes
2026-09-14T02:11:01+00:00,7c76ece,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mdbx,0.1,228.6,0.5,0.5,0.5,5.6,4.5,1.1,,,201326592,201326592,file_bytes
2026-09-14T02:11:01+00:00,7c76ece,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",sqlite,0.1,2377.7,0.0,0.0,26.8,36.8,35.6,1.2,,,457773056,457773056,file_bytes
2026-09-14T02:30:31+00:00,3fa2254,"ASUSTeK COMPUTER INC. PRIME Z370-A | Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz | Corsair 32GB (2133 MT/s) DDR4 1.2 V DIMM | Crucial_CT275MX300SSD4 256.2G SSD/sata [Encrypted] /, /boot | ST2000DM008-2FR102 1.8T HDD/sata [Encrypted] | ST4000NM0115-1YZ107 3.6T HDD/sata [Encrypted] /run/media/shane/shane4tb-ent | SPCC Solid State Disk 223.6G SSD/sata [Encrypted]",mtxdb,0.1,355.1,4.6,4.5,0.3,8.7,6.0,2.7,3.0,0.1,105449644,2099712,index_bytes
